Postcode;Plaatsnaam
0612;Sinterklaas
1000;BRUSSEL
1005;Verenigde Vergadering van de Gemeenschappelijke 
1006;Raad van de Vlaamse Gemeenschapscommissie
1007;Assemblée de la Commission Communautaire Française
1008;Kamer van Volksvertegenwoordigers
1009;Belgische Senaat
1011;Vlaams Parlement
1012;Parlement de la communauté française
1020;Laken
1030;SCHAARBEEK
1031;Christelijke Sociale Organisaties
1033;RTL-TVI
1035;Ministerie van het Brussels Hoofdstedelijk Gewest
1040;ETTERBEEK
1041;International press center
1043;VRT
1044;RTBF
1045;DIV -- obsolete - use 1212 instead
1046;European External Action Service
1047;Europees Parlement
1048;Europese unie - Raad
1049;Europese unie - Commissie
1050;ELSENE
1060;SINT-GILLIS
1070;ANDERLECHT
1080;SINT-JANS-MOLENBEEK
1081;KOEKELBERG
1082;SINT-AGATHA-BERCHEM
1083;GANSHOREN
1090;JETTE
1099;Brussel X
1100;Postcheque
1101;Scanning
1105;SOC
1110;NATO
1120;Neder-Over-Heembeek
1130;Haren
1140;EVERE
1150;SINT-PIETERS-WOLUWE
1160;OUDERGEM
1170;WATERMAAL-BOSVOORDE
1180;UKKEL
1190;VORST
1200;SINT-LAMBRECHTS-WOLUWE
1201;RTL-TVI -- obsolete - use 1033 instead
1210;SINT-JOOST-TEN-NOODE
1212;FOD Mobiliteit
1300;Limal
1300;WAVRE
1301;Bierges
1310;LA HULPE
1315;Glimes
1315;INCOURT
1315;Opprebais
1315;Piètrebais
1315;Roux-Miroir
1320;BEAUVECHAIN
1320;Hamme-Mille
1320;L'Ecluse
1320;Nodebais
1320;Tourinnes-La-Grosse
1325;Bonlez
1325;CHAUMONT-GISTOUX
1325;Corroy-Le-Grand
1325;Dion-Valmont
1325;Longueville
1330;RIXENSART
1331;Rosières
1332;Genval
1340;Ottignies
1341;Céroux-Mousty
1342;Limelette
1348;Louvain-La-Neuve
1350;Enines
1350;Folx-Les-Caves
1350;Jandrain-Jandrenouille
1350;Jauche
1350;Marilles
1350;Noduwez
1350;Orp-Le-Grand
1357;Linsmeau
1357;Neerheylissem
1357;Opheylissem
1360;Malèves-Sainte-Marie-Wastines
1360;Orbais
1360;PERWEZ
1360;Thorembais-Les-Béguines
1360;Thorembais-Saint-Trond
1367;Autre-Eglise
1367;Bomal
1367;Geest-Gérompont-Petit-Rosière
1367;Gérompont
1367;Grand-Rosière-Hottomont
1367;Huppaye
1367;Mont-Saint-André
1367;RAMILLIES
1370;Dongelberg
1370;Jauchelette
1370;JODOIGNE
1370;Jodoigne-Souveraine
1370;Lathuy
1370;Mélin
1370;Piétrain
1370;Saint-Jean-Geest
1370;Saint-Remy-Geest
1370;Zétrud-Lumay
1380;Couture-Saint-Germain
1380;Lasne-Chapelle-Saint-Lambert
1380;Maransart
1380;Ohain
1380;Plancenoit
1390;Archennes
1390;Biez
1390;Bossut-Gottechain
1390;GREZ-DOICEAU
1390;Nethen
1400;Monstreux
1400;NIVELLES
1401;Baulers
1402;Thines
1404;Bornival
1410;WATERLOO
1414;Promo-Control
1420;BRAINE-L'ALLEUD
1421;Ophain-Bois-Seigneur-Isaac
1428;Lillois-Witterzée
1430;Bierghes
1430;Quenast
1430;Rebecq-Rognon
1435;Corbais
1435;Hévillers
1435;MONT-SAINT-GUIBERT
1440;BRAINE-LE-CHÂTEAU
1440;Wauthier-Braine
1450;Chastre-Villeroux-Blanmont
1450;Cortil-Noirmont
1450;Gentinnes
1450;Saint-Géry
1457;Nil-Saint-Vincent-Saint-Martin
1457;Tourinnes-Saint-Lambert
1457;Walhain-Saint-Paul
1460;ITTRE
1460;Virginal-Samme
1461;Haut-Ittre
1470;Baisy-Thy
1470;Bousval
1470;GENAPPE
1471;Loupoigne
1472;Vieux-Genappe
1473;Glabais
1474;Ways
1476;Houtain-Le-Val
1480;Clabecq
1480;Oisquercq
1480;Saintes
1480;TUBIZE
1490;COURT-SAINT-ETIENNE
1495;Marbais
1495;Mellery
1495;Sart-Dames-Avelines
1495;Tilly
1495;VILLERS-LA-VILLE
1500;HALLE
1501;Buizingen
1502;Lembeek
1540;Herfelingen
1540;HERNE
1541;Sint-Pieters-Kapelle
1547;BEVER
1560;HOEILAART
1570;GALMAARDEN
1570;Tollembeek
1570;Vollezele
1600;Oudenaken
1600;Sint-Laureins-Berchem
1600;SINT-PIETERS-LEEUW
1601;Ruisbroek
1602;Vlezenbeek
1620;DROGENBOS
1630;LINKEBEEK
1640;SINT-GENESIUS-RODE
1650;BEERSEL
1651;Lot
1652;Alsemberg
1653;Dworp
1654;Huizingen
1670;Bogaarden
1670;Heikruis
1670;PEPINGEN
1671;Elingen
1673;Beert
1674;Bellingen
1700;DILBEEK
1700;Sint-Martens-Bodegem
1700;Sint-Ulriks-Kapelle
1701;Itterbeek
1702;Groot-Bijgaarden
1703;Schepdaal
1730;ASSE
1730;Bekkerzeel
1730;Kobbegem
1730;Mollem
1731;Relegem
1731;Zellik
1733;HighCo DATA
1740;TERNAT
1741;Wambeek
1742;Sint-Katherina-Lombeek
1745;Mazenzele
1745;OPWIJK
1750;Gaasbeek
1750;Sint-Kwintens-Lennik
1750;Sint-Martens-Lennik
1755;GOOIK
1755;Kester
1755;Leerbeek
1755;Oetingen
1760;Onze-Lieve-Vrouw-Lombeek
1760;Pamel
1760;ROOSDAAL
1760;Strijtem
1761;Borchtlombeek
1770;LIEDEKERKE
1780;WEMMEL
1785;Brussegem
1785;Hamme
1785;MERCHTEM
1790;AFFLIGEM
1790;Essene
1790;Hekelgem
1790;Teralfene
1800;Peutie
1800;VILVOORDE
1804;Cargovil
1818;VTM
1820;Melsbroek
1820;Perk
1820;STEENOKKERZEEL
1830;MACHELEN
1831;Diegem
1840;LONDERZEEL
1840;Malderen
1840;Steenhuffel
1850;GRIMBERGEN
