Postcode;Plaatsnaam;Localité;Provincie
0612;Sinterklaas;Saint-Nicolas;
1000;BRUSSEL;BRUXELLES;Brussel (19 gemeenten)
1005;Verenigde Vergadering van de Gemeenschappelijke ;Assemblée Réunie de la Commission Communautaire;
1006;Raad van de Vlaamse Gemeenschapscommissie;Raad van de Vlaamse Gemeenschapscommissie ;
1007;Assemblée de la Commission Communautaire Française;Assemblée de la Commission Communautaire Française;
1008;Kamer van Volksvertegenwoordigers;Chambre des Représentants;
1009;Belgische Senaat;Senat de Belgique;
1011;Vlaams Parlement;Vlaams parlement;
1012;Parlement de la communauté française;Parlement de la Communauté française;
1020;Laken;Laeken;Brussel (19 gemeenten)
1030;SCHAARBEEK;SCHAERBEEK;Brussel (19 gemeenten)
1031;Christelijke Sociale Organisaties;Organisations Sociales Chrétiennes;
1033;RTL-TVI;RTL-TVI;
1035;Ministerie van het Brussels Hoofdstedelijk Gewest;Ministère de la Région de Bruxelles Capitale;
1040;ETTERBEEK;ETTERBEEK;Brussel (19 gemeenten)
1041;International press center;International Press Center;
1043;VRT;VRT;
1044;RTBF;RTBF;
1045;DIV -- obsolete - use 1212 instead;DIV -- obsolete - use 1212 instead;
1046;European External Action Service;European External Action Service;
1047;Europees Parlement;Parlement Européen;
1048;Europese unie - Raad;Union Européenne - Conseil;
1049;Europese unie - Commissie;Union Européenne - Commission;
1050;ELSENE;IXELLES;Brussel (19 gemeenten)
1060;SINT-GILLIS;SAINT-GILLES;Brussel (19 gemeenten)
1070;ANDERLECHT;ANDERLECHT;Brussel (19 gemeenten)
1080;SINT-JANS-MOLENBEEK;MOLENBEEK-SAINT-JEAN;Brussel (19 gemeenten)
1081;KOEKELBERG;KOEKELBERG;Brussel (19 gemeenten)
1082;SINT-AGATHA-BERCHEM;BERCHEM-SAINTE-AGATHE;Brussel (19 gemeenten)
1083;GANSHOREN;GANSHOREN;Brussel (19 gemeenten)
1090;JETTE;JETTE;Brussel (19 gemeenten)
1099;Brussel X;Bruxelles X;
1100;Postcheque;Postcheque;
1101;Scanning;Scanning;
1105;SOC;SOC;
1110;NATO;OTAN;
1120;Neder-Over-Heembeek;Neder-Over-Heembeek;Brussel (19 gemeenten)
1130;Haren;Haren;Brussel (19 gemeenten)
1140;EVERE;EVERE;Brussel (19 gemeenten)
1150;SINT-PIETERS-WOLUWE;WOLUWE-SAINT-PIERRE;Brussel (19 gemeenten)
1160;OUDERGEM;AUDERGHEM;Brussel (19 gemeenten)
